Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","140","Central African Republic","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","2880.682","X","Figure from international organizations",""
"OA","Annual population","140","Central African Republic","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","2142.171","X","Figure from international organizations",""
"OA","Annual population","148","Chad","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","17179.74","X","Figure from international organizations",""
"OA","Annual population","148","Chad","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","12778.64","X","Figure from international organizations",""
"OA","Annual population","148","Chad","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","3987.074","X","Figure from international organizations",""
"OA","Annual population","830","Channel Islands","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","116.109","X","Figure from international organizations",""
"OA","Annual population","830","Channel Islands","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","52.195","X","Figure from international organizations",""
"OA","Annual population","152","Chile","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","19493.184","X","Figure from international organizations",""
"OA","Annual population","152","Chile","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","2266.63","X","Figure from international organizations",""
"OA","Annual population","152","Chile","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","16338.316","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1457934.562","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","540439.367","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","920173.874","X","Figure from international organizations",""
"OA","Annual population","344","China, Hong Kong SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","7494.578","X","Figure from international organizations",""
"OA","Annual population","344","China, Hong Kong SAR","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","0","X","Figure from international organizations",""
"OA","Annual population","344","China, Hong Kong SAR","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","7598.189","X","Figure from international organizations",""
