Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","096","Brunei Darussalam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","23.4","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","Bulgaria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","93.95","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","Bulgaria","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","19.99","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","Bulgaria","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","11.76","E","Estimated value",""
"RFN","Fertilizers by Nutrient","854","Burkina Faso","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","6.32","E","Estimated value",""
"RFN","Fertilizers by Nutrient","854","Burkina Faso","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","2.4","E","Estimated value",""
"RFN","Fertilizers by Nutrient","854","Burkina Faso","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","2.05","E","Estimated value",""
"RFN","Fertilizers by Nutrient","108","Burundi","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","4.25","E","Estimated value",""
"RFN","Fertilizers by Nutrient","108","Burundi","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","8.43","E","Estimated value",""
"RFN","Fertilizers by Nutrient","108","Burundi","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","2.28","E","Estimated value",""
"RFN","Fertilizers by Nutrient","132","Cabo Verde","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","3.53","E","Estimated value",""
"RFN","Fertilizers by Nutrient","132","Cabo Verde","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","0.65","E","Estimated value",""
